model,train_size,repeat,acc,f1,baseline
distilroberta-base,40,19,0.825,0.7968253968253968,0.2
distilroberta-base,40,20,0.825,0.7968253968253968,0.2
distilroberta-base,40,21,0.825,0.7968253968253968,0.2
distilroberta-base,40,22,0.825,0.7968253968253968,0.2
distilroberta-base,40,23,0.825,0.7968253968253968,0.2
distilroberta-base,40,24,0.825,0.7968253968253968,0.2
distilroberta-base,40,25,0.825,0.7968253968253968,0.2
distilroberta-base,40,26,0.825,0.7968253968253968,0.2
distilroberta-base,40,27,0.825,0.7968253968253968,0.2
distilroberta-base,40,28,0.825,0.7968253968253968,0.2
distilroberta-base,40,29,0.825,0.7968253968253968,0.2
roberta-base,10,0,0.375,0.30542790542790543,0.2
roberta-base,10,1,0.3,0.20606060606060606,0.2
roberta-base,10,2,0.35,0.2553846153846154,0.2
roberta-base,10,3,0.4,0.2549075391180654,0.2
roberta-base,10,4,0.2,0.06956521739130435,0.2
roberta-base,10,5,0.25,0.14956521739130435,0.2
roberta-base,10,6,0.4,0.27189542483660134,0.2
roberta-base,10,7,0.3,0.20606060606060606,0.2
roberta-base,10,8,0.35,0.28380355276907,0.2
roberta-base,10,10,0.35,0.22322775263951736,0.2
roberta-base,10,11,0.4,0.2830721003134796,0.2
roberta-base,10,12,0.275,0.1802020202020202,0.2
roberta-base,10,13,0.375,0.2733333333333333,0.2
roberta-base,10,14,0.55,0.45,0.2
roberta-base,10,16,0.325,0.23189493433395875,0.2
roberta-base,10,17,0.35,0.27230822153422773,0.2
roberta-base,10,19,0.25,0.17906191369606003,0.2
roberta-base,10,20,0.45,0.33984962406015035,0.2
roberta-base,10,21,0.2,0.06666666666666667,0.2
roberta-base,10,24,0.475,0.378997975708502,0.2
roberta-base,10,25,0.225,0.11252955082742315,0.2
roberta-base,10,26,0.375,0.3358265582655827,0.2
roberta-base,10,27,0.225,0.10476190476190475,0.2
roberta-base,10,28,0.3,0.19047619047619047,0.2
roberta-base,15,0,0.225,0.11252955082742315,0.2
roberta-base,15,1,0.4,0.23122580645161292,0.2
roberta-base,15,3,0.3,0.19749552772808587,0.2
roberta-base,15,4,0.375,0.24675716440422324,0.2
roberta-base,15,5,0.2,0.06956521739130435,0.2
roberta-base,15,6,0.3,0.18,0.2
roberta-base,15,7,0.35,0.2718949343339587,0.2
roberta-base,15,8,0.525,0.4764285714285714,0.2
roberta-base,15,9,0.525,0.41117216117216115,0.2
roberta-base,15,10,0.45,0.3461279461279461,0.2
roberta-base,15,11,0.4,0.27999999999999997,0.2
roberta-base,15,12,0.475,0.36593406593406597,0.2
roberta-base,15,13,0.375,0.27255172413793105,0.2
roberta-base,15,14,0.45,0.3621304347826087,0.2
roberta-base,15,15,0.225,0.11555555555555555,0.2
roberta-base,15,16,0.35,0.24761904761904763,0.2
roberta-base,15,17,0.425,0.30727272727272725,0.2
roberta-base,15,18,0.2,0.06666666666666667,0.2
roberta-base,15,19,0.525,0.40569800569800574,0.2
roberta-base,15,20,0.4,0.3116305916305916,0.2
roberta-base,15,21,0.575,0.4575661375661376,0.2
roberta-base,15,22,0.525,0.4807843137254902,0.2
roberta-base,15,23,0.4,0.27999999999999997,0.2
roberta-base,15,24,0.4,0.2333333333333333,0.2
roberta-base,15,25,0.6,0.4787658802177859,0.2
roberta-base,15,26,0.275,0.1802020202020202,0.2
roberta-base,15,27,0.45,0.3341176470588236,0.2
roberta-base,15,28,0.4,0.27028657616892915,0.2
roberta-base,15,29,0.425,0.31689026487788097,0.2
roberta-base,20,0,0.55,0.47111111111111104,0.2
roberta-base,20,1,0.475,0.36332556332556337,0.2
roberta-base,20,2,0.45,0.38245098039215686,0.2
roberta-base,20,3,0.475,0.36977978543195933,0.2
roberta-base,20,4,0.4,0.23957219251336898,0.2
roberta-base,20,5,0.425,0.3806688963210702,0.2
roberta-base,20,6,0.55,0.46887334887334886,0.2
roberta-base,20,7,0.575,0.44254113544731394,0.2
roberta-base,20,8,0.425,0.3856084656084656,0.2
roberta-base,20,9,0.45,0.32,0.2
roberta-base,20,10,0.425,0.30734782608695654,0.2
roberta-base,20,11,0.4,0.36550116550116546,0.2
roberta-base,20,12,0.525,0.43104731525784157,0.2
roberta-base,20,13,0.425,0.28100358422939065,0.2
roberta-base,20,14,0.35,0.22322775263951736,0.2
roberta-base,20,15,0.4,0.32230576441102754,0.2
roberta-base,20,16,0.325,0.2635095137420719,0.2
roberta-base,20,17,0.45,0.3446666666666667,0.2
roberta-base,20,18,0.55,0.5134952766531713,0.2
roberta-base,20,19,0.475,0.4300366300366301,0.2
roberta-base,20,20,0.525,0.4050724637681159,0.2
roberta-base,20,21,0.45,0.32,0.2
roberta-base,20,22,0.45,0.32,0.2
roberta-base,20,23,0.575,0.4319534012897857,0.2
roberta-base,20,24,0.7,0.6293541752365281,0.2
roberta-base,20,25,0.6,0.5415267223316759,0.2
roberta-base,20,26,0.45,0.32,0.2
roberta-base,20,27,0.575,0.45185185185185184,0.2
roberta-base,20,28,0.425,0.3487179487179487,0.2
roberta-base,20,29,0.45,0.32571428571428573,0.2
roberta-base,25,0,0.5,0.41450549450549445,0.2
roberta-base,25,1,0.45,0.3671399594320487,0.2
roberta-base,25,2,0.65,0.6437575757575758,0.2
roberta-base,25,3,0.55,0.4327619047619048,0.2
