model,scale,language,template_id,representation,cv_adjacent_norm,cos_step_12,cos_step_23,cos_step_34
BAAI/bge-m3,affect,ru,50,mean_pool,0.1457134336233139,-0.16060222685337067,-0.5258455872535706,-0.4058544337749481
BAAI/bge-m3,affect,ru,51,mean_pool,0.07027037441730499,-0.1816597580909729,-0.3636254072189331,-0.36575645208358765
BAAI/bge-m3,affect,ru,52,mean_pool,0.19779063761234283,0.011549925431609154,-0.3115312457084656,-0.3741235136985779
BAAI/bge-m3,affect,ru,53,mean_pool,0.05639041215181351,-0.6517314910888672,-0.3963944613933563,-0.5508013963699341
BAAI/bge-m3,affect,ru,54,mean_pool,0.1783917397260666,-0.24029532074928284,-0.47299686074256897,-0.2267710119485855
BAAI/bge-m3,affect,ru,55,mean_pool,0.09595467895269394,-0.2599327862262726,-0.5915634632110596,-0.30586981773376465
BAAI/bge-m3,affect,ru,56,mean_pool,0.1789378672838211,-0.22935183346271515,-0.3410164713859558,-0.3280739188194275
BAAI/bge-m3,affect,ru,57,mean_pool,0.22975574433803558,-0.13652029633522034,-0.3388322591781616,-0.17212910950183868
BAAI/bge-m3,affect,ru,58,mean_pool,0.3070026934146881,-0.055330779403448105,-0.38347306847572327,-0.3034132122993469
BAAI/bge-m3,affect,ru,59,mean_pool,0.18097418546676636,0.04217151179909706,-0.4002671539783478,-0.3572302758693695
BAAI/bge-m3,affect,ru,60,mean_pool,0.3462022542953491,-0.11131883412599564,-0.3887619078159332,-0.30655741691589355
BAAI/bge-m3,affect,ru,61,mean_pool,0.20102459192276,-0.1999462991952896,-0.19585832953453064,-0.5444996356964111
BAAI/bge-m3,affect,ru,62,mean_pool,0.3923972249031067,-0.10320175439119339,-0.2655571401119232,-0.1527606099843979
BAAI/bge-m3,affect,ru,63,mean_pool,0.0665498897433281,-0.3968072533607483,-0.5994489789009094,-0.3396075367927551
BAAI/bge-m3,affect,ru,64,mean_pool,0.2647620141506195,-0.1732906550168991,-0.32752665877342224,-0.17905503511428833
BAAI/bge-m3,affect,ru,65,mean_pool,0.26039355993270874,-0.39500799775123596,-0.31600984930992126,-0.20476306974887848
BAAI/bge-m3,affect,ru,66,mean_pool,0.045069314539432526,-0.3629773259162903,-0.5954335927963257,-0.37301716208457947
BAAI/bge-m3,affect,ru,67,mean_pool,0.1562882661819458,-0.08315642923116684,-0.31368860602378845,-0.22253337502479553
BAAI/bge-m3,affect,ru,68,mean_pool,0.17031407356262207,-0.07774534076452255,-0.4219423830509186,-0.521918773651123
BAAI/bge-m3,affect,ru,69,mean_pool,0.1377178430557251,-0.14057394862174988,-0.47634807229042053,-0.5416336059570312
BAAI/bge-m3,affect,ru,70,mean_pool,0.07372957468032837,-0.4621201753616333,-0.46609607338905334,-0.5627307891845703
BAAI/bge-m3,affect,ru,71,mean_pool,0.1359485238790512,-0.2975682318210602,-0.43301793932914734,-0.21290577948093414
BAAI/bge-m3,affect,ru,72,mean_pool,0.15036843717098236,-0.06643621623516083,-0.32582876086235046,-0.45644208788871765
BAAI/bge-m3,affect,ru,73,mean_pool,0.1896878033876419,-0.034545816481113434,-0.511584460735321,-0.2502901554107666
BAAI/bge-m3,affect,ru,74,mean_pool,0.12316650152206421,0.03614412993192673,-0.4905652105808258,-0.4236780107021332
BAAI/bge-m3,affect,ru,75,mean_pool,0.17994870245456696,-0.31976786255836487,-0.5610222816467285,-0.28300613164901733
BAAI/bge-m3,affect,ru,76,mean_pool,0.16138914227485657,-0.020230742171406746,-0.40874162316322327,-0.37025365233421326
BAAI/bge-m3,affect,ru,77,mean_pool,0.12879924476146698,-0.029344592243433,-0.364435076713562,-0.526387095451355
BAAI/bge-m3,affect,ru,78,mean_pool,0.12828771770000458,-0.13148313760757446,-0.5767250657081604,-0.26110556721687317
BAAI/bge-m3,affect,ru,79,mean_pool,0.20973894000053406,0.05335564538836479,-0.41051650047302246,-0.5500689148902893
BAAI/bge-m3,affect,ru,80,mean_pool,0.11225152015686035,-0.3247479200363159,-0.5621364116668701,-0.46706369519233704
BAAI/bge-m3,affect,ru,81,mean_pool,0.2560436427593231,-0.2646326720714569,-0.49130961298942566,-0.04875888675451279
BAAI/bge-m3,affect,ru,82,mean_pool,0.1292351484298706,-0.4385300278663635,-0.39371365308761597,-0.4555056095123291
BAAI/bge-m3,affect,ru,83,mean_pool,0.2752710282802582,-0.14187468588352203,-0.2929152846336365,-0.3735499978065491
BAAI/bge-m3,affect,ru,84,mean_pool,0.1343907117843628,-0.15881767868995667,-0.4750191867351532,-0.2767190933227539
BAAI/bge-m3,affect,ru,85,mean_pool,0.1229892298579216,-0.22287705540657043,-0.3600400984287262,-0.5401266813278198
BAAI/bge-m3,affect,ru,86,mean_pool,0.09838380664587021,0.007527090143412352,-0.2260347455739975,-0.5808311700820923
BAAI/bge-m3,affect,ru,87,mean_pool,0.27054363489151,-0.09959376603364944,-0.3797365128993988,-0.18807190656661987
BAAI/bge-m3,affect,ru,88,mean_pool,0.2010536938905716,-0.06499297171831131,-0.3560909032821655,-0.5515215396881104
BAAI/bge-m3,affect,ru,89,mean_pool,0.0990685224533081,-0.3928649425506592,-0.5193890929222107,-0.5589601397514343
BAAI/bge-m3,affect,ru,90,mean_pool,0.2292131632566452,-0.07761839032173157,-0.39046433568000793,-0.2380126267671585
BAAI/bge-m3,affect,ru,91,mean_pool,0.1179005354642868,-0.18784619867801666,-0.37972259521484375,-0.3769700229167938
BAAI/bge-m3,affect,ru,92,mean_pool,0.05281025916337967,-0.2613529562950134,-0.510806679725647,-0.3627103865146637
BAAI/bge-m3,affect,ru,93,mean_pool,0.19624373316764832,-0.11086739599704742,-0.6671762466430664,-0.36952096223831177
BAAI/bge-m3,affect,ru,94,mean_pool,0.2813548743724823,-0.1139831468462944,-0.24081672728061676,-0.5293868184089661
BAAI/bge-m3,affect,ru,95,mean_pool,0.25799277424812317,-0.2923331558704376,-0.33599236607551575,-0.2284764051437378
BAAI/bge-m3,affect,ru,96,mean_pool,0.21490149199962616,-0.0644083246588707,-0.4257265627384186,-0.47190892696380615
BAAI/bge-m3,affect,ru,97,mean_pool,0.06981607526540756,-0.35231128334999084,-0.5520983338356018,-0.35393649339675903
