section,source_file,group,metric,estimate,n,numerator,ci95_low,ci95_high
gpt2_final_marker_logit_audit,results\experiments\gpt2_final_marker_logit_audit_layer2_3_20260810_v2_results\csv\final_marker_logit_sequence_raw.csv,target_class=question | control=target,target_top1_any,0.8541666666666666,96,82.0,0.7699800750432338,0.9110987538216883
gpt2_question_copy_prompt_preservation,results\experiments\gpt2_question_copy_prompt_preservation_20260716_results\csv\question_copy_prompt_summary.csv,source_set=in_template_test | prompt_style=copy_sentence | control=target,question_and_preserved_rate,0.975,80,78.0,0.9133539994467789,0.9931172511018748
gpt2_question_copy_prompt_preservation,results\experiments\gpt2_question_copy_prompt_preservation_20260716_results\csv\question_copy_prompt_summary.csv,source_set=in_template_test | prompt_style=copy_sentence | control=target,question_mark_rate,1.0,80,80.0,0.954180263735425,1.0
gpt2_question_copy_prompt_preservation,results\experiments\gpt2_question_copy_prompt_preservation_20260716_results\csv\question_copy_prompt_summary.csv,source_set=in_template_test | prompt_style=repeat_sentence | control=target,question_and_preserved_rate,0.9625,80,77.0,0.8954510802560568,0.9871656636992113
gpt2_question_copy_prompt_preservation,results\experiments\gpt2_question_copy_prompt_preservation_20260716_results\csv\question_copy_prompt_summary.csv,source_set=in_template_test | prompt_style=repeat_sentence | control=target,question_mark_rate,0.975,80,78.0,0.9133539994467789,0.9931172511018748
gpt2_question_copy_prompt_preservation,results\experiments\gpt2_question_copy_prompt_preservation_20260716_results\csv\question_copy_prompt_summary.csv,source_set=in_template_test | prompt_style=same_sentence | control=target,question_and_preserved_rate,0.975,80,78.0,0.9133539994467789,0.9931172511018748
gpt2_question_copy_prompt_preservation,results\experiments\gpt2_question_copy_prompt_preservation_20260716_results\csv\question_copy_prompt_summary.csv,source_set=in_template_test | prompt_style=same_sentence | control=target,question_mark_rate,1.0,80,80.0,0.954180263735425,1.0
gpt2_question_copy_prompt_preservation,results\experiments\gpt2_question_copy_prompt_preservation_20260716_results\csv\question_copy_prompt_summary.csv,source_set=out_of_template_freeform | prompt_style=copy_sentence | control=target,question_and_preserved_rate,0.825,80,66.0,0.7274225612441251,0.8927946101839012
gpt2_question_copy_prompt_preservation,results\experiments\gpt2_question_copy_prompt_preservation_20260716_results\csv\question_copy_prompt_summary.csv,source_set=out_of_template_freeform | prompt_style=copy_sentence | control=target,question_mark_rate,0.9375,80,75.0,0.8618967084664824,0.9730110223020145
gpt2_question_copy_prompt_preservation,results\experiments\gpt2_question_copy_prompt_preservation_20260716_results\csv\question_copy_prompt_summary.csv,source_set=out_of_template_freeform | prompt_style=repeat_sentence | control=target,question_and_preserved_rate,0.9,80,72.0,0.8148912101660255,0.9484530008223144
gpt2_question_copy_prompt_preservation,results\experiments\gpt2_question_copy_prompt_preservation_20260716_results\csv\question_copy_prompt_summary.csv,source_set=out_of_template_freeform | prompt_style=repeat_sentence | control=target,question_mark_rate,0.95,80,76.0,0.878375474489178,0.9803867628727044
gpt2_question_copy_prompt_preservation,results\experiments\gpt2_question_copy_prompt_preservation_20260716_results\csv\question_copy_prompt_summary.csv,source_set=out_of_template_freeform | prompt_style=same_sentence | control=target,question_and_preserved_rate,0.8625,80,69.0,0.7703270280036946,0.9214536632044886
gpt2_question_copy_prompt_preservation,results\experiments\gpt2_question_copy_prompt_preservation_20260716_results\csv\question_copy_prompt_summary.csv,source_set=out_of_template_freeform | prompt_style=same_sentence | control=target,question_mark_rate,0.9625,80,77.0,0.8954510802560568,0.9871656636992113
