model,language,template_id,representation,from_level,to_level,step_size,delta_norm
BAAI/bge-m3,en,32,mean_pool,1,2,1,2.884592294692993
BAAI/bge-m3,en,32,mean_pool,-2,0,2,10.443952560424805
BAAI/bge-m3,en,32,mean_pool,-1,1,2,11.65208911895752
BAAI/bge-m3,en,32,mean_pool,0,2,2,13.712272644042969
BAAI/bge-m3,en,32,mean_pool,-2,2,4,13.02348804473877
BAAI/bge-m3,en,33,mean_pool,-2,-1,1,5.426427841186523
BAAI/bge-m3,en,33,mean_pool,-1,0,1,10.75965976715088
BAAI/bge-m3,en,33,mean_pool,0,1,1,14.13861083984375
BAAI/bge-m3,en,33,mean_pool,1,2,1,3.272786855697632
BAAI/bge-m3,en,33,mean_pool,-2,0,2,11.462811470031738
BAAI/bge-m3,en,33,mean_pool,-1,1,2,11.829625129699709
BAAI/bge-m3,en,33,mean_pool,0,2,2,14.640639305114746
BAAI/bge-m3,en,33,mean_pool,-2,2,4,13.976675033569336
BAAI/bge-m3,en,34,mean_pool,-2,-1,1,6.104407787322998
BAAI/bge-m3,en,34,mean_pool,-1,0,1,10.448243141174316
BAAI/bge-m3,en,34,mean_pool,0,1,1,14.027198791503906
BAAI/bge-m3,en,34,mean_pool,1,2,1,5.540231227874756
BAAI/bge-m3,en,34,mean_pool,-2,0,2,11.591382026672363
BAAI/bge-m3,en,34,mean_pool,-1,1,2,12.532443046569824
BAAI/bge-m3,en,34,mean_pool,0,2,2,14.502069473266602
BAAI/bge-m3,en,34,mean_pool,-2,2,4,14.190882682800291
BAAI/bge-m3,en,35,mean_pool,-2,-1,1,6.050229549407959
BAAI/bge-m3,en,35,mean_pool,-1,0,1,11.248997688293455
BAAI/bge-m3,en,35,mean_pool,0,1,1,15.003596305847168
BAAI/bge-m3,en,35,mean_pool,1,2,1,3.1681623458862305
BAAI/bge-m3,en,35,mean_pool,-2,0,2,12.444451332092283
BAAI/bge-m3,en,35,mean_pool,-1,1,2,12.099756240844728
BAAI/bge-m3,en,35,mean_pool,0,2,2,15.604119300842283
BAAI/bge-m3,en,35,mean_pool,-2,2,4,14.4593505859375
BAAI/bge-m3,en,36,mean_pool,-2,-1,1,4.654702186584473
BAAI/bge-m3,en,36,mean_pool,-1,0,1,9.055726051330566
BAAI/bge-m3,en,36,mean_pool,0,1,1,13.102787971496582
BAAI/bge-m3,en,36,mean_pool,1,2,1,3.207183599472046
BAAI/bge-m3,en,36,mean_pool,-2,0,2,10.28709316253662
BAAI/bge-m3,en,36,mean_pool,-1,1,2,11.810791969299316
BAAI/bge-m3,en,36,mean_pool,0,2,2,14.152899742126465
BAAI/bge-m3,en,36,mean_pool,-2,2,4,13.316610336303713
BAAI/bge-m3,en,37,mean_pool,-2,-1,1,4.557603359222412
BAAI/bge-m3,en,37,mean_pool,-1,0,1,8.98110580444336
BAAI/bge-m3,en,37,mean_pool,0,1,1,12.998247146606444
BAAI/bge-m3,en,37,mean_pool,1,2,1,3.0718822479248047
BAAI/bge-m3,en,37,mean_pool,-2,0,2,10.056188583374023
BAAI/bge-m3,en,37,mean_pool,-1,1,2,11.24291706085205
BAAI/bge-m3,en,37,mean_pool,0,2,2,13.348304748535156
BAAI/bge-m3,en,37,mean_pool,-2,2,4,12.80782699584961
BAAI/bge-m3,en,38,mean_pool,-2,-1,1,5.089372158050537
BAAI/bge-m3,en,38,mean_pool,-1,0,1,10.134302139282228
BAAI/bge-m3,en,38,mean_pool,0,1,1,12.294204711914062
BAAI/bge-m3,en,38,mean_pool,1,2,1,2.5078182220458984
BAAI/bge-m3,en,38,mean_pool,-2,0,2,10.968243598937988
BAAI/bge-m3,en,38,mean_pool,-1,1,2,10.04770851135254
BAAI/bge-m3,en,38,mean_pool,0,2,2,12.804948806762695
BAAI/bge-m3,en,38,mean_pool,-2,2,4,11.808123588562012
BAAI/bge-m3,en,39,mean_pool,-2,-1,1,5.356181144714356
BAAI/bge-m3,en,39,mean_pool,-1,0,1,10.963322639465332
BAAI/bge-m3,en,39,mean_pool,0,1,1,14.340356826782228
BAAI/bge-m3,en,39,mean_pool,1,2,1,3.168025016784668
BAAI/bge-m3,en,39,mean_pool,-2,0,2,11.944297790527344
BAAI/bge-m3,en,39,mean_pool,-1,1,2,12.48058032989502
BAAI/bge-m3,en,39,mean_pool,0,2,2,15.074346542358398
BAAI/bge-m3,en,39,mean_pool,-2,2,4,14.160005569458008
BAAI/bge-m3,en,40,mean_pool,-2,-1,1,5.791900634765625
BAAI/bge-m3,en,40,mean_pool,-1,0,1,9.898418426513672
BAAI/bge-m3,en,40,mean_pool,0,1,1,14.015623092651367
BAAI/bge-m3,en,40,mean_pool,1,2,1,3.344587564468384
BAAI/bge-m3,en,40,mean_pool,-2,0,2,10.866031646728516
BAAI/bge-m3,en,40,mean_pool,-1,1,2,12.156102180480955
BAAI/bge-m3,en,40,mean_pool,0,2,2,14.794580459594728
BAAI/bge-m3,en,40,mean_pool,-2,2,4,14.57327651977539
BAAI/bge-m3,en,41,mean_pool,-2,-1,1,3.9773547649383545
BAAI/bge-m3,en,41,mean_pool,-1,0,1,8.90856647491455
BAAI/bge-m3,en,41,mean_pool,0,1,1,12.860427856445312
BAAI/bge-m3,en,41,mean_pool,1,2,1,2.180234670639038
BAAI/bge-m3,en,41,mean_pool,-2,0,2,9.460492134094238
BAAI/bge-m3,en,41,mean_pool,-1,1,2,10.734990119934082
BAAI/bge-m3,en,41,mean_pool,0,2,2,13.304879188537598
BAAI/bge-m3,en,41,mean_pool,-2,2,4,12.252267837524414
BAAI/bge-m3,en,42,mean_pool,-2,-1,1,4.444770336151123
BAAI/bge-m3,en,42,mean_pool,-1,0,1,9.659366607666016
BAAI/bge-m3,en,42,mean_pool,0,1,1,10.607850074768066
BAAI/bge-m3,en,42,mean_pool,1,2,1,2.5825328826904297
BAAI/bge-m3,en,42,mean_pool,-2,0,2,10.4509916305542
BAAI/bge-m3,en,42,mean_pool,-1,1,2,9.303970336914062
BAAI/bge-m3,en,42,mean_pool,0,2,2,11.423601150512695
BAAI/bge-m3,en,42,mean_pool,-2,2,4,10.64443588256836
BAAI/bge-m3,en,43,mean_pool,-2,-1,1,4.3803253173828125
BAAI/bge-m3,en,43,mean_pool,-1,0,1,9.20895290374756
BAAI/bge-m3,en,43,mean_pool,0,1,1,13.640159606933594
BAAI/bge-m3,en,43,mean_pool,1,2,1,3.856673002243042
BAAI/bge-m3,en,43,mean_pool,-2,0,2,9.93369483947754
BAAI/bge-m3,en,43,mean_pool,-1,1,2,11.70867156982422
BAAI/bge-m3,en,43,mean_pool,0,2,2,14.544095993041992
BAAI/bge-m3,en,43,mean_pool,-2,2,4,13.196345329284668
BAAI/bge-m3,en,44,mean_pool,-2,-1,1,5.026012897491455
BAAI/bge-m3,en,44,mean_pool,-1,0,1,9.56876277923584
BAAI/bge-m3,en,44,mean_pool,0,1,1,12.692797660827637
BAAI/bge-m3,en,44,mean_pool,1,2,1,2.92508602142334
BAAI/bge-m3,en,44,mean_pool,-2,0,2,10.623546600341797
BAAI/bge-m3,en,44,mean_pool,-1,1,2,10.991791725158691
BAAI/bge-m3,en,44,mean_pool,0,2,2,13.181859016418455
BAAI/bge-m3,en,44,mean_pool,-2,2,4,12.429519653320312
BAAI/bge-m3,en,45,mean_pool,-2,-1,1,5.236905574798584
BAAI/bge-m3,en,45,mean_pool,-1,0,1,10.963706970214844
BAAI/bge-m3,en,45,mean_pool,0,1,1,14.90496063232422
BAAI/bge-m3,en,45,mean_pool,1,2,1,4.271499633789063
BAAI/bge-m3,en,45,mean_pool,-2,0,2,11.67739486694336
BAAI/bge-m3,en,45,mean_pool,-1,1,2,12.775348663330078
BAAI/bge-m3,en,45,mean_pool,0,2,2,15.98184871673584
BAAI/bge-m3,en,45,mean_pool,-2,2,4,14.49298858642578
BAAI/bge-m3,en,46,mean_pool,-2,-1,1,5.371448993682861
BAAI/bge-m3,en,46,mean_pool,-1,0,1,10.67202854156494
BAAI/bge-m3,en,46,mean_pool,0,1,1,14.468777656555176
BAAI/bge-m3,en,46,mean_pool,1,2,1,3.442860841751098
BAAI/bge-m3,en,46,mean_pool,-2,0,2,11.69426155090332
BAAI/bge-m3,en,46,mean_pool,-1,1,2,12.136390686035156
BAAI/bge-m3,en,46,mean_pool,0,2,2,15.313017845153809
BAAI/bge-m3,en,46,mean_pool,-2,2,4,14.19221019744873
BAAI/bge-m3,en,47,mean_pool,-2,-1,1,5.355604648590088
BAAI/bge-m3,en,47,mean_pool,-1,0,1,11.82139778137207
BAAI/bge-m3,en,47,mean_pool,0,1,1,15.06431007385254
BAAI/bge-m3,en,47,mean_pool,1,2,1,3.0973565578460693
BAAI/bge-m3,en,47,mean_pool,-2,0,2,12.036389350891112
BAAI/bge-m3,en,47,mean_pool,-1,1,2,11.870919227600098
BAAI/bge-m3,en,47,mean_pool,0,2,2,15.778541564941406
BAAI/bge-m3,en,47,mean_pool,-2,2,4,13.747801780700684
BAAI/bge-m3,en,48,mean_pool,-2,-1,1,4.646206855773926
BAAI/bge-m3,en,48,mean_pool,-1,0,1,10.651470184326172
BAAI/bge-m3,en,48,mean_pool,0,1,1,14.075345039367676
