model,template_id,triple,a,b,c,jacobi_norm,relative_jacobi_norm,null_mean_relative_jacobi_norm,null_std_relative_jacobi_norm,jacobi_to_null_mean_ratio,null_percentile_smaller_is_better
roberta-base,54,NMT,N,M,T,3.163328170776367,0.379602313041687,0.3189776026457548,0.08654979993218676,1.1900594583816904,0.689
roberta-base,54,QMT,Q,M,T,1.809627890586853,0.23415274918079376,0.354272980555892,0.08736941048558096,0.6609387732948819,0.095
roberta-base,55,NQM,N,Q,M,2.2755396366119385,0.32577046751976013,0.3293154143989086,0.06759454846476383,0.989235405556074,0.678
roberta-base,55,NQT,N,Q,T,2.6826729774475098,0.3761008083820343,0.34866535583138464,0.0759569156701995,1.0786870622237525,0.697
roberta-base,55,NMT,N,M,T,3.2871694564819336,0.4491143524646759,0.36402490589022635,0.10516035458530729,1.2337462222952267,0.801
roberta-base,55,QMT,Q,M,T,1.6314150094985962,0.22562353312969208,0.36821582831442357,0.10098391954575442,0.6127480563828911,0.103
roberta-base,56,NQM,N,Q,M,2.4798169136047363,0.32548755407333374,0.3200203643143177,0.06960684109890795,1.017083880801502,0.685
roberta-base,56,NQT,N,Q,T,2.7489707469940186,0.34791645407676697,0.31438904547691343,0.06760374888662558,1.10664305605142,0.691
roberta-base,56,NMT,N,M,T,3.6415462493896484,0.4491363763809204,0.34887101393938064,0.1051453350863366,1.287399521410725,0.807
roberta-base,56,QMT,Q,M,T,1.580887794494629,0.20220324397087097,0.3556615792810917,0.09660982256974669,0.5685270935899832,0.092
roberta-base,57,NQM,N,Q,M,2.413187026977539,0.32901692390441895,0.328070975035429,0.06880817566517974,1.0028833665272734,0.704
roberta-base,57,NQT,N,Q,T,2.639622688293457,0.35438767075538635,0.32732946810126307,0.06829700697366606,1.0826635096742034,0.724
roberta-base,57,NMT,N,M,T,3.4294168949127197,0.46510329842567444,0.36118975998461245,0.0980094401391412,1.2876979082801276,0.794
roberta-base,57,QMT,Q,M,T,1.8041462898254395,0.2448422759771347,0.37480727787315843,0.09555878453416643,0.6532484570893006,0.091
roberta-base,58,NQM,N,Q,M,2.2967240810394287,0.31896984577178955,0.3223037733733654,0.06832648674665698,0.9896559461042879,0.713
roberta-base,58,NQT,N,Q,T,2.6799957752227783,0.35563895106315613,0.31749591520428655,0.07625695439566148,1.120137091632209,0.783
roberta-base,58,NMT,N,M,T,3.23256778717041,0.4314548969268799,0.34591197557747366,0.095136386016253,1.247296790477842,0.797
roberta-base,58,QMT,Q,M,T,1.41594660282135,0.1958225667476654,0.3390310799926519,0.09621120837928741,0.5775947348288305,0.099
roberta-base,59,NQM,N,Q,M,2.2521047592163086,0.32320865988731384,0.3386519269943237,0.0763089226561681,0.9543978171185097,0.502
roberta-base,59,NQT,N,Q,T,2.677945375442505,0.37395086884498596,0.3577704161405563,0.0768736554419542,1.0452257983707285,0.574
roberta-base,59,NMT,N,M,T,3.395601749420166,0.46149787306785583,0.3744098907858133,0.11523344856075803,1.232600645506531,0.774
roberta-base,59,QMT,Q,M,T,1.72067129611969,0.2418462336063385,0.3824870436489582,0.09912004630750919,0.632299152667952,0.103
roberta-base,60,NQM,N,Q,M,2.436941385269165,0.3380669355392456,0.3317242455482483,0.06917140470579605,1.0191203690266761,0.692
roberta-base,60,NQT,N,Q,T,2.7181918621063232,0.3728899657726288,0.3431814047843218,0.07218081806957305,1.0865680965607425,0.692
roberta-base,60,NMT,N,M,T,3.3478002548217773,0.4492107927799225,0.3502254195213318,0.1016984111908314,1.2826333205413691,0.808
roberta-base,60,QMT,Q,M,T,1.640400767326355,0.22453640401363373,0.37108164247870445,0.10002636520572732,0.6050862621853204,0.1
roberta-base,61,NQM,N,Q,M,2.388941526412964,0.30739617347717285,0.3054696438312531,0.06259218584096789,1.006306779360301,0.692
roberta-base,61,NQT,N,Q,T,2.6007320880889893,0.3321824371814728,0.3150738625228405,0.05947000536034784,1.0543002028812776,0.713
roberta-base,61,NMT,N,M,T,3.281846523284912,0.38734328746795654,0.3256805224120617,0.09474890984461556,1.1893351330869206,0.67
roberta-base,61,QMT,Q,M,T,1.735858678817749,0.22290192544460297,0.3455265027433634,0.08376048507106897,0.6451080414214021,0.103
roberta-base,62,NQM,N,Q,M,2.3783555030822754,0.3195274770259857,0.333048398822546,0.07859574090727978,0.9594025317481744,0.512
roberta-base,62,NQT,N,Q,T,2.6093807220458984,0.3449643552303314,0.3308981995880604,0.07752395826877137,1.0425090123147835,0.602
roberta-base,62,NMT,N,M,T,3.399829626083374,0.4217729866504669,0.3615677162110805,0.10943710088810975,1.1665117424451483,0.801
roberta-base,62,QMT,Q,M,T,1.7418715953826904,0.22865693271160126,0.36307764747738835,0.09533295950919815,0.629774193756204,0.08
roberta-base,63,NQM,N,Q,M,2.337702512741089,0.32304540276527405,0.33107074627280236,0.06856257458889903,0.9757594302762976,0.69
roberta-base,63,NQT,N,Q,T,2.6614904403686523,0.36411795020103455,0.3464210605770349,0.07488861312908604,1.0510849126593826,0.66
roberta-base,63,NMT,N,M,T,3.448573112487793,0.4426281154155731,0.35168553319573403,0.09528912071705702,1.2585906260976778,0.788
roberta-base,63,QMT,Q,M,T,1.6571784019470215,0.2201870083808899,0.3478006983697414,0.08972506584039819,0.6330838592686766,0.096
roberta-base,64,NQM,N,Q,M,2.2076213359832764,0.28892970085144043,0.30598156836628915,0.061282398321202254,0.9442715860081472,0.575
roberta-base,64,NQT,N,Q,T,2.590027332305908,0.3303948938846588,0.3086840416789055,0.0661617488468384,1.0703335750257759,0.718
roberta-base,64,NMT,N,M,T,3.4564452171325684,0.42703777551651,0.35478228579461574,0.10419104670789678,1.2036614921707773,0.8
roberta-base,64,QMT,Q,M,T,1.6686694622039795,0.2160867154598236,0.33665835949778555,0.07455207944343423,0.6418575667674847,0.096
roberta-base,65,NQM,N,Q,M,2.3844358921051025,0.3125869333744049,0.3128878144770861,0.06676602891843339,0.9990383738523565,0.699
roberta-base,65,NQT,N,Q,T,2.5835084915161133,0.3320412039756775,0.3195529397726059,0.0665070930059822,1.0390804234532132,0.679
roberta-base,65,NMT,N,M,T,3.374089241027832,0.41666194796562195,0.3277843296229839,0.09299106921324582,1.271146636093292,0.805
roberta-base,65,QMT,Q,M,T,1.6839818954467773,0.2160612791776657,0.3386042266339064,0.09117148202046434,0.63809386351999,0.11
roberta-base,66,NQM,N,Q,M,2.330099105834961,0.3105887174606323,0.3261425401568413,0.07327284835070971,0.9523097395093524,0.503
roberta-base,66,NQT,N,Q,T,2.6505401134490967,0.3554312586784363,0.3336260257065296,0.0737922478665513,1.0653583092765733,0.698
