model,language,template_id,triple,relative_signed_permutation_norm,null_mean,null_std,ratio_to_null_mean,null_percentile_smaller_is_better,p_smaller_or_equal_null
xlm-roberta-base,en,10,NMT,0.7146685123443604,0.9837602500915528,0.4316629609875037,0.7264661407869691,19.900000000000002,0.39812037592481503
xlm-roberta-base,en,10,QMT,0.5450161099433899,1.100708389055729,0.6920397965114469,0.4951503189781726,30.09,0.6018796240751849
xlm-roberta-base,en,11,NQM,0.47190147638320923,0.9568421415328979,0.5497302194054948,0.4931863427615257,20.12,0.40251949610077986
xlm-roberta-base,en,11,NQT,0.6454231142997742,1.0725327078104019,0.5333936259464839,0.6017747613653828,55.18,0.5970805838832234
xlm-roberta-base,en,11,NMT,0.7414538860321045,0.9857134932637215,0.4546421220599677,0.7522001992448946,5.64,0.11297740451909619
xlm-roberta-base,en,11,QMT,0.4692498743534088,0.9923517165839673,0.6565993689068008,0.47286649129631514,30.310000000000002,0.6062787442511498
xlm-roberta-base,en,12,NQM,0.3703126907348633,0.9855600693464279,0.7302523220730479,0.3757383261073672,20.42,0.40851829634073183
xlm-roberta-base,en,12,NQT,0.6104995012283325,1.0487087476968766,0.5567991364226906,0.5821439961938906,30.87,0.6174765046990602
xlm-roberta-base,en,12,NMT,0.7201075553894043,0.91111872215271,0.37765029094449654,0.790355348737877,31.29,0.5190961807638472
xlm-roberta-base,en,12,QMT,0.3746338188648224,0.8386200510382652,0.5585019019415155,0.4467265222201104,29.580000000000002,0.5916816636672666
xlm-roberta-base,en,13,NQM,0.30138570070266724,0.8051932931244373,0.5922497717197119,0.3743022989334758,20.84,0.4169166166766647
xlm-roberta-base,en,13,NQT,0.6377604603767395,0.9689686761379241,0.4137559710245492,0.6581848062602405,30.26,0.6052789442111578
xlm-roberta-base,en,13,NMT,0.6829077005386353,0.8860732252001763,0.3989118111997238,0.7707124886699812,30.47,0.40571885622875425
xlm-roberta-base,en,13,QMT,0.3941155970096588,0.6930237071692944,0.3539769938254685,0.5686899206073106,29.07,0.5814837032593482
xlm-roberta-base,en,14,NQM,0.3015376925468445,0.6095986988842488,0.31569660421966395,0.49464950154627235,30.39,0.40531893621275744
xlm-roberta-base,en,14,NQT,0.46132248640060425,0.6929812314331532,0.29275212867155087,0.6657070429539317,25.42,0.508498300339932
xlm-roberta-base,en,14,NMT,0.47076067328453064,0.6514829613149166,0.2515026684250191,0.7225985961837762,39.76,0.4991001799640072
xlm-roberta-base,en,14,QMT,0.2658837139606476,0.629341614228487,0.4508927344060917,0.42247915591307794,30.29,0.6058788242351529
xlm-roberta-base,en,15,NQM,0.4243376851081848,0.7728120368123055,0.38775161915236955,0.5490826551536949,20.57,0.41151769646070785
xlm-roberta-base,en,15,NQT,0.4820830225944519,0.7802632272839546,0.3782403840656876,0.6178466519201906,30.53,0.6106778644271146
xlm-roberta-base,en,15,NMT,0.5425726175308228,0.6998879216074944,0.30449084377806224,0.7752278626038768,29.73,0.49510097980403917
xlm-roberta-base,en,15,QMT,0.4888303875923157,0.9775996796488762,0.6130475445813892,0.5000312477264606,54.93,0.5992801439712058
xlm-roberta-base,en,16,NQM,0.3815709352493286,0.9332410958766937,0.666063998204643,0.4088664086213104,20.04,0.40091981603679266
xlm-roberta-base,en,16,NQT,0.6821655631065369,0.9259154570221901,0.3404529724148709,0.7367471381239201,30.490000000000002,0.609878024395121
xlm-roberta-base,en,16,NMT,0.5755338668823242,0.7626834565758706,0.3292615730898917,0.7546169540184807,20.32,0.4065186962607478
xlm-roberta-base,en,16,QMT,0.3862818777561188,0.6997994299173355,0.38166126435447867,0.5519894147401588,54.47,0.590881823635273
xlm-roberta-base,en,17,NQM,0.34298887848854065,0.9673082461893558,0.7483836596654234,0.35458074490666974,20.55,0.41111777644471104
xlm-roberta-base,en,17,NQT,0.7333384156227112,1.0168104508399964,0.38196426738615513,0.7212144751425129,30.36,0.6072785442911418
xlm-roberta-base,en,17,NMT,0.535539448261261,0.7107280451059341,0.317188744803844,0.7535082538929293,20.400000000000002,0.4081183763247351
xlm-roberta-base,en,17,QMT,0.40806418657302856,0.7339280759453773,0.39303891851752587,0.5560002402780988,29.59,0.591881623675265
xlm-roberta-base,en,18,NQM,0.46705162525177,1.0866029668807984,0.7211049272564934,0.42982730536072267,19.88,0.3977204559088182
xlm-roberta-base,en,18,NQT,0.8190821409225464,1.1115103625535965,0.38005552571860673,0.7369091359976535,30.16,0.6032793441311738
xlm-roberta-base,en,18,NMT,0.6457285284996033,0.8525918624401092,0.36746618636726003,0.7573712076617497,20.29,0.40591881623675263
xlm-roberta-base,en,18,QMT,0.3968966603279114,0.8278793612360954,0.5339687486654293,0.4794136427496284,30.27,0.6054789042191562
