model,ridge_alpha,heldout_language,method,operator,target_cosine,mse,n_test,mean_target_cosine,mean_mse,cells
BAAI/bge-m3,1.0,de,additive,T,0.9246416091918944,0.21071657538414,160.0,,,
BAAI/bge-m3,1.0,de,linear,T,0.8682837095870077,0.3704384679104557,160.0,,,
BAAI/bge-m3,1.0,de,affine,T,0.8770761489868164,0.3487929105758667,160.0,,,
BAAI/bge-m3,1.0,ru,additive,N,0.7809357643127441,0.7109681963920593,160.0,,,
BAAI/bge-m3,1.0,ru,linear,N,0.5529211814551491,1.5239440597491352,160.0,,,
BAAI/bge-m3,1.0,ru,affine,N,0.5439823269844055,1.7013896703720093,160.0,,,
BAAI/bge-m3,1.0,ru,additive,Q,0.8412039875984192,0.5216783285140991,160.0,,,
BAAI/bge-m3,1.0,ru,linear,Q,0.6347331155320026,1.3777301440597012,160.0,,,
BAAI/bge-m3,1.0,ru,affine,Q,0.6338983774185181,1.4410274028778076,160.0,,,
BAAI/bge-m3,1.0,ru,additive,M,0.935832142829895,0.1877458840608596,160.0,,,
BAAI/bge-m3,1.0,ru,linear,M,0.7504945740165964,0.7949954863769882,160.0,,,
BAAI/bge-m3,1.0,ru,affine,M,0.7476822137832642,0.8246862292289734,160.0,,,
BAAI/bge-m3,1.0,ru,additive,T,0.9027081727981568,0.2873455286026001,160.0,,,
BAAI/bge-m3,1.0,ru,linear,T,0.6399795672110917,1.1520678797256525,160.0,,,
BAAI/bge-m3,1.0,ru,affine,T,0.6785928010940552,1.0366531610488892,160.0,,,
BAAI/bge-m3,1.0,zh,additive,N,0.9028300046920776,0.2735157907009125,160.0,,,
BAAI/bge-m3,1.0,zh,linear,N,0.8086348632891436,0.5610365904512025,160.0,,,
BAAI/bge-m3,1.0,zh,affine,N,0.8224698901176453,0.5289338827133179,160.0,,,
BAAI/bge-m3,1.0,zh,additive,Q,0.9333924055099488,0.1895794123411178,160.0,,,
BAAI/bge-m3,1.0,zh,linear,Q,0.8854265458141042,0.3283995955680924,160.0,,,
BAAI/bge-m3,1.0,zh,affine,Q,0.8769838213920593,0.3583549857139587,160.0,,,
BAAI/bge-m3,1.0,zh,additive,M,0.9775152206420898,0.0602398738265037,160.0,,,
BAAI/bge-m3,1.0,zh,linear,M,0.9279711389783608,0.1895498367212065,160.0,,,
BAAI/bge-m3,1.0,zh,affine,M,0.9313760995864868,0.1815052926540374,160.0,,,
BAAI/bge-m3,1.0,zh,additive,T,0.9541274309158324,0.1256109774112701,160.0,,,
BAAI/bge-m3,1.0,zh,linear,T,0.9005314483732623,0.2708003304524758,160.0,,,
BAAI/bge-m3,1.0,zh,affine,T,0.902844250202179,0.2715697288513183,160.0,,,
BAAI/bge-m3,1.0,ar,additive,N,0.7329573631286621,0.9800283312797546,160.0,,,
BAAI/bge-m3,1.0,ar,linear,N,0.3776980486016489,3.0351610844866004,160.0,,,
BAAI/bge-m3,1.0,ar,affine,N,0.2803784310817718,4.123255252838135,160.0,,,
BAAI/bge-m3,1.0,ar,additive,Q,0.7821540236473083,0.7636414766311646,160.0,,,
BAAI/bge-m3,1.0,ar,linear,Q,0.4565287824898644,2.2595334266178897,160.0,,,
BAAI/bge-m3,1.0,ar,affine,Q,0.4496103227138519,2.5485949516296387,160.0,,,
BAAI/bge-m3,1.0,ar,additive,M,0.9402869939804076,0.1939722001552581,160.0,,,
BAAI/bge-m3,1.0,ar,linear,M,0.6472169317748858,1.2748375903756854,160.0,,,
BAAI/bge-m3,1.0,ar,affine,M,0.5351421236991882,2.005207061767578,160.0,,,
BAAI/bge-m3,1.0,ar,additive,T,0.8160204887390137,0.6108875870704651,160.0,,,
BAAI/bge-m3,1.0,ar,linear,T,0.4897816276296574,2.1640353256377605,160.0,,,
BAAI/bge-m3,1.0,ar,affine,T,0.4628516733646393,2.312505006790161,160.0,,,
BAAI/bge-m3,10.0,en,additive,N,0.8594987988471985,0.3837282061576843,160.0,,,
BAAI/bge-m3,10.0,en,linear,N,0.915818661633919,0.2372056006585075,160.0,,,
BAAI/bge-m3,10.0,en,affine,N,0.9156762957572936,0.2376151084899902,160.0,,,
BAAI/bge-m3,10.0,en,additive,Q,0.9442617297172546,0.1458320170640945,160.0,,,
BAAI/bge-m3,10.0,en,linear,Q,0.8581835325694754,0.3801220923786245,160.0,,,
BAAI/bge-m3,10.0,en,affine,Q,0.8582272529602051,0.3799377381801605,160.0,,,
BAAI/bge-m3,10.0,en,additive,M,0.98228657245636,0.0480895303189754,160.0,,,
BAAI/bge-m3,10.0,en,linear,M,0.9593365941935608,0.1068712110638769,160.0,,,
BAAI/bge-m3,10.0,en,affine,M,0.9593670964241028,0.1068993657827377,160.0,,,
BAAI/bge-m3,10.0,en,additive,T,0.9453514218330384,0.1524547636508941,160.0,,,
BAAI/bge-m3,10.0,en,linear,T,0.932473443468188,0.1885319339784481,160.0,,,
BAAI/bge-m3,10.0,en,affine,T,0.9328309297561646,0.1875490248203277,160.0,,,
BAAI/bge-m3,10.0,es,additive,N,0.8618721961975098,0.3939732909202575,160.0,,,
BAAI/bge-m3,10.0,es,linear,N,0.8639794031226737,0.3781460814097117,160.0,,,
BAAI/bge-m3,10.0,es,affine,N,0.8734201192855835,0.3592697381973266,160.0,,,
BAAI/bge-m3,10.0,es,additive,Q,0.9469982981681824,0.1533045321702957,160.0,,,
BAAI/bge-m3,10.0,es,linear,Q,0.8852172487775307,0.3364789287363802,160.0,,,
BAAI/bge-m3,10.0,es,affine,Q,0.8865140080451965,0.3363754749298095,160.0,,,
BAAI/bge-m3,10.0,es,additive,M,0.9544795155525208,0.1277608871459961,160.0,,,
BAAI/bge-m3,10.0,es,linear,M,0.9102445173998208,0.2343624329062888,160.0,,,
BAAI/bge-m3,10.0,es,affine,M,0.908255398273468,0.2406156361103058,160.0,,,
BAAI/bge-m3,10.0,es,additive,T,0.9254791140556335,0.2248622924089431,160.0,,,
BAAI/bge-m3,10.0,es,linear,T,0.8791303395663441,0.3339300876401569,160.0,,,
BAAI/bge-m3,10.0,es,affine,T,0.8841465711593628,0.3269948363304138,160.0,,,
BAAI/bge-m3,10.0,fr,additive,N,0.8930782079696655,0.2849233150482178,160.0,,,
BAAI/bge-m3,10.0,fr,linear,N,0.8905524361917543,0.2911092617436316,160.0,,,
BAAI/bge-m3,10.0,fr,affine,N,0.8917570114135742,0.2875239253044128,160.0,,,
BAAI/bge-m3,10.0,fr,additive,Q,0.9153528213500975,0.2388777732849121,160.0,,,
BAAI/bge-m3,10.0,fr,linear,Q,0.9026316149573856,0.2771373386423869,160.0,,,
BAAI/bge-m3,10.0,fr,affine,Q,0.903445601463318,0.2751001715660095,160.0,,,
BAAI/bge-m3,10.0,fr,additive,M,0.956037163734436,0.1127687916159629,160.0,,,
BAAI/bge-m3,10.0,fr,linear,M,0.9306813940663148,0.1729176783305123,160.0,,,
BAAI/bge-m3,10.0,fr,affine,M,0.9302839040756226,0.1738473773002624,160.0,,,
BAAI/bge-m3,10.0,fr,additive,T,0.9529949426651,0.1234264597296714,160.0,,,
BAAI/bge-m3,10.0,fr,linear,T,0.9236330271735074,0.1983542702643554,160.0,,,
BAAI/bge-m3,10.0,fr,affine,T,0.925129532814026,0.1944459378719329,160.0,,,
BAAI/bge-m3,10.0,de,additive,N,0.8885700106620789,0.3138696849346161,160.0,,,
BAAI/bge-m3,10.0,de,linear,N,0.8603976481071125,0.3689244218832065,160.0,,,
BAAI/bge-m3,10.0,de,affine,N,0.865648090839386,0.359163373708725,160.0,,,
BAAI/bge-m3,10.0,de,additive,Q,0.918076992034912,0.2228874415159225,160.0,,,
BAAI/bge-m3,10.0,de,linear,Q,0.9053198753247728,0.2558806093018505,160.0,,,
