model,ridge_alpha,heldout_language,method,triple,basis_rank,relative_jacobi_operator_norm,jacobi_coeff_norm,jacobi_coef_N,jacobi_coef_Q,jacobi_coef_M,jacobi_coef_T,mean_relative_jacobi_operator_norm,mean_jacobi_coeff_norm,cells
BAAI/bge-m3,0.1,fr,linear,NQM,4.0,0.026001238096258,0.0018464583289002,-7.28480485415418e-05,0.0007042933649772,-0.000656557151478,0.0015738504011121,,,
BAAI/bge-m3,0.1,fr,linear,NQT,4.0,0.0795802088691031,0.0112572218505592,-0.0061597880637387,0.0014765554144641,-0.0012788567870629,0.0092177201209805,,,
BAAI/bge-m3,0.1,fr,linear,NMT,4.0,0.0613579189752228,0.0079569384780815,0.000287316738491,-0.0028353140127162,-0.0060017213219934,0.0043784306158921,,,
BAAI/bge-m3,0.1,fr,linear,QMT,4.0,0.0408944248293745,0.003173869339605,-0.0009974436298453,0.0004605329605071,-0.0022977181055929,0.0018939254709948,,,
BAAI/bge-m3,0.1,fr,affine,NQM,4.0,0.0299028784214229,0.0028022056101344,-0.0009079529077437,0.0002453550107715,-0.0020394549024188,0.0016758288750579,,,
BAAI/bge-m3,0.1,fr,affine,NQT,4.0,0.0896674498324559,0.0133452857516714,-0.0093031626818021,-0.0001366976940322,0.0028954767065041,0.009118406894421,,,
BAAI/bge-m3,0.1,fr,affine,NMT,4.0,0.0484841508559992,0.0061604831795982,0.0028042215942506,-0.0032582487212687,-0.0039669177850868,0.0019326853890801,,,
BAAI/bge-m3,0.1,fr,affine,QMT,4.0,0.0387288923562247,0.0030323683723788,-0.0013918703688993,0.0007755941945054,-0.0018921221045582,0.001753933410616,,,
BAAI/bge-m3,0.1,de,linear,NQM,4.0,0.0592540415516101,0.0031458359144855,0.0013090513376793,-0.0020720371421263,0.0015742066204005,-0.0011879409893268,,,
BAAI/bge-m3,0.1,de,linear,NQT,4.0,0.1179670257798448,0.0113821022042395,-0.0044790539985622,0.0029348645322803,-0.0096390942501007,0.0028221902984305,,,
BAAI/bge-m3,0.1,de,linear,NMT,4.0,0.0561817362736842,0.0049662409505812,-0.0024896718317209,0.0001555232740546,-0.0003504715920302,0.0042799609255193,,,
BAAI/bge-m3,0.1,de,linear,QMT,4.0,0.0515795348672898,0.0025628654427616,-0.0007824672783622,0.0005865388063593,0.000596805040811,-0.0022925575691553,,,
BAAI/bge-m3,0.1,de,affine,NQM,4.0,0.0517182096752794,0.0026095196566162,0.0010988543876004,-0.0018260387377374,0.0011747115220693,-0.0009422033969995,,,
BAAI/bge-m3,0.1,de,affine,NQT,4.0,0.0938159156288113,0.0083574078214972,-0.0044150379782354,0.001650870979993,-0.0061801410140417,0.0030715122007795,,,
BAAI/bge-m3,0.1,de,affine,NMT,4.0,0.0686560760205819,0.0062207566868386,-0.0019147537089496,-0.0001534451777454,-0.00204911530643,0.0055505957364315,,,
