model,feature,heldout_language,accuracy,macro_f1,chance,n_train,n_test,mean_macro_f1,min_macro_f1,max_macro_f1,n
intfloat/multilingual-e5-large,signed_endpoint_sum,,,,,,,0.8052451733784979,0.0842654781561534,1.0,7.0
intfloat/multilingual-e5-large,source_only,,,,,,,0.1,0.1,0.1,7.0
sentence-transformers/LaBSE,anticyclic_endpoint_mean,,,,,,,0.877832037108587,0.375,1.0,7.0
sentence-transformers/LaBSE,cyclic_endpoint_mean,,,,,,,0.8697441246080444,0.375,1.0,7.0
sentence-transformers/LaBSE,delta_concat,,,,,,,0.9133929497725368,0.6647810648743637,1.0,7.0
sentence-transformers/LaBSE,endpoint_concat,,,,,,,0.901186494789436,0.5133910904153401,1.0,7.0
sentence-transformers/LaBSE,endpoint_mean,,,,,,,0.8782022316040747,0.375,1.0,7.0
sentence-transformers/LaBSE,signed_delta_sum,,,,,,,0.8751006307183969,0.3359072888190075,1.0,7.0
sentence-transformers/LaBSE,signed_endpoint_sum,,,,,,,0.8751006307183969,0.3359072888190075,1.0,7.0
sentence-transformers/LaBSE,source_only,,,,,,,0.1,0.1,0.1,7.0
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,anticyclic_endpoint_mean,,,,,,,0.7724099244011461,0.1002087682672233,0.997395762688875,7.0
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,cyclic_endpoint_mean,,,,,,,0.7545234622101926,0.1302528334786399,1.0,7.0
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,delta_concat,,,,,,,0.8329076742448762,0.1476835093011563,1.0,7.0
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,endpoint_concat,,,,,,,0.8230386116131138,0.1,1.0,7.0
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,endpoint_mean,,,,,,,0.7681077538458477,0.1208546117769671,1.0,7.0
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,signed_delta_sum,,,,,,,0.7573626796046694,0.3334351495864546,1.0,7.0
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,signed_endpoint_sum,,,,,,,0.7573626796046694,0.3334351495864546,1.0,7.0
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,source_only,,,,,,,0.1,0.1,0.1,7.0
xlm-roberta-base,anticyclic_endpoint_mean,,,,,,,0.5809624889709093,0.1303066616898807,0.7666022657685242,7.0
xlm-roberta-base,cyclic_endpoint_mean,,,,,,,0.5258069144791072,0.1,0.7749999999999999,7.0
xlm-roberta-base,delta_concat,,,,,,,0.8007371684658866,0.4673777359781121,0.9947915960222083,7.0
xlm-roberta-base,endpoint_concat,,,,,,,0.7543516924812615,0.1157804459691252,0.9947911014650028,7.0
xlm-roberta-base,endpoint_mean,,,,,,,0.5655723813786112,0.1107299409186201,0.7706246496881172,7.0
xlm-roberta-base,signed_delta_sum,,,,,,,0.646793255239161,0.1227910103726469,0.9713095263370204,7.0
xlm-roberta-base,signed_endpoint_sum,,,,,,,0.646793255239161,0.1227910103726469,0.9713095263370204,7.0
xlm-roberta-base,source_only,,,,,,,0.1,0.1,0.1,7.0
distilbert-base-multilingual-cased,source_only,en,0.25,0.1,0.25,2304.0,384.0,,,,
distilbert-base-multilingual-cased,endpoint_mean,en,0.7864583333333334,0.7801795144898593,0.25,2304.0,384.0,,,,
distilbert-base-multilingual-cased,cyclic_endpoint_mean,en,0.7682291666666666,0.7673131008145682,0.25,2304.0,384.0,,,,
distilbert-base-multilingual-cased,anticyclic_endpoint_mean,en,0.8151041666666666,0.8102229371924309,0.25,2304.0,384.0,,,,
distilbert-base-multilingual-cased,endpoint_concat,en,0.9973958333333334,0.997395762688875,0.25,2304.0,384.0,,,,
distilbert-base-multilingual-cased,delta_concat,en,0.984375,0.9843597262952102,0.25,2304.0,384.0,,,,
distilbert-base-multilingual-cased,signed_endpoint_sum,en,0.9791666666666666,0.9791304347826086,0.25,2304.0,384.0,,,,
distilbert-base-multilingual-cased,signed_delta_sum,en,0.9791666666666666,0.9791304347826086,0.25,2304.0,384.0,,,,
distilbert-base-multilingual-cased,source_only,es,0.25,0.1,0.25,2304.0,384.0,,,,
distilbert-base-multilingual-cased,endpoint_mean,es,0.7682291666666666,0.74385153155322,0.25,2304.0,384.0,,,,
distilbert-base-multilingual-cased,cyclic_endpoint_mean,es,0.7317708333333334,0.696385647281804,0.25,2304.0,384.0,,,,
distilbert-base-multilingual-cased,anticyclic_endpoint_mean,es,0.7734375,0.7516305937111936,0.25,2304.0,384.0,,,,
distilbert-base-multilingual-cased,endpoint_concat,es,0.8229166666666666,0.7975186104218362,0.25,2304.0,384.0,,,,
distilbert-base-multilingual-cased,delta_concat,es,0.9036458333333334,0.8999295675447245,0.25,2304.0,384.0,,,,
distilbert-base-multilingual-cased,signed_endpoint_sum,es,0.6432291666666666,0.6328498238677729,0.25,2304.0,384.0,,,,
distilbert-base-multilingual-cased,signed_delta_sum,es,0.6432291666666666,0.6328498238677729,0.25,2304.0,384.0,,,,
distilbert-base-multilingual-cased,source_only,fr,0.25,0.1,0.25,2304.0,384.0,,,,
distilbert-base-multilingual-cased,endpoint_mean,fr,0.6041666666666666,0.5642766211458575,0.25,2304.0,384.0,,,,
distilbert-base-multilingual-cased,cyclic_endpoint_mean,fr,0.6901041666666666,0.6784738057785326,0.25,2304.0,384.0,,,,
distilbert-base-multilingual-cased,anticyclic_endpoint_mean,fr,0.5677083333333334,0.5059263817207347,0.25,2304.0,384.0,,,,
distilbert-base-multilingual-cased,endpoint_concat,fr,0.9010416666666666,0.9006311360448808,0.25,2304.0,384.0,,,,
distilbert-base-multilingual-cased,delta_concat,fr,0.9557291666666666,0.9553793574846206,0.25,2304.0,384.0,,,,
distilbert-base-multilingual-cased,signed_endpoint_sum,fr,0.6770833333333334,0.6024887608206992,0.25,2304.0,384.0,,,,
distilbert-base-multilingual-cased,signed_delta_sum,fr,0.6770833333333334,0.6024887608206992,0.25,2304.0,384.0,,,,
distilbert-base-multilingual-cased,source_only,de,0.25,0.1,0.25,2304.0,384.0,,,,
distilbert-base-multilingual-cased,endpoint_mean,de,0.71875,0.70632868578828,0.25,2304.0,384.0,,,,
distilbert-base-multilingual-cased,cyclic_endpoint_mean,de,0.7708333333333334,0.763137254669124,0.25,2304.0,384.0,,,,
distilbert-base-multilingual-cased,anticyclic_endpoint_mean,de,0.7265625,0.7184988897792289,0.25,2304.0,384.0,,,,
distilbert-base-multilingual-cased,endpoint_concat,de,0.9244791666666666,0.9227160425283848,0.25,2304.0,384.0,,,,
distilbert-base-multilingual-cased,delta_concat,de,0.9791666666666666,0.9791644058600107,0.25,2304.0,384.0,,,,
